0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:35:00 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:35:00 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:35:01 +0900] "GET /Hospital_Reservation/view/loginForm.jsp HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:35:01 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:35:01 +0900] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:35:04 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:35:04 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:35:06 +0900] "GET /Hospital_Reservation/view/loginForm.jsp HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:35:06 +0900] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:35:06 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:35:07 +0900] "POST /Hospital_Reservation/view/loginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:35:07 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:35:07 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:35:07 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:35:07 +0900] "GET /Hospital_Reservation/view/ReservationPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:35:07 +0900] "GET /Hospital_Reservation/view/Reservation.jsp HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:35:07 +0900] "GET /admin/clinic/style.css HTTP/1.1" 404 1038
